bid, name, intro, birthday, gender, region
12902615, Coder小苏打, keep thinking deeply., 2007-01-01T00:00:00.000, Male, 350000
12902620, 扛过今天, None, 1999-12-31T00:00:00.000, Female, Unknown
12902626, 活蹦乱跳的水柱喵杉杉, None, 1999-12-31T00:00:00.000, Female, Unknown
12902634, 晨曦7542, None, 1999-12-31T00:00:00.000, Female, Unknown
12902659, 一个憨憨的哈士奇, 某日动态：阿巴阿巴，一只憨憨......（你信吗）  一只大屑啊~ 找我看收藏......, 2010-09-17T00:00:00.000, Female, Unknown
12902666, 快乐的时光111, 吾聞橘中之樂，不減商山。豈霜餘之不食······(蘇軾洞庭春色賦) 我是魔神家族的长老, 1999-12-31T00:00:00.000, Female, Unknown
12902675, 南海舰队司令大方的达达蟹4JEv, None, 2009-10-06T00:00:00.000, Female, Unknown
12902689, 貌若天仙的冰牙犬天天, None, 1999-12-31T00:00:00.000, Female, Unknown
12902697, 写字猫,  开炮!, 2013-04-12T00:00:00.000, Unknown, Unknown
12902700, 哈皮, None, 1999-12-31T00:00:00.000, Female, Unknown
12902710, 努力营业的夜魅鼠小东, 试试, 1999-12-31T00:00:00.000, Female, Unknown
12902711, 帅气的飞电鼠Z1_T, None, 1999-12-31T00:00:00.000, Female, Unknown
12902727, 10Cookiez, 我是你们大大大跌, 2011-03-14T00:00:00.000, Unknown, Unknown
12902747, Plum-Steven, CSP-J 92.5+310的屑 不搞OI啦~ PhO我来了 高级bug师，菜鸟UI师一个, 2010-10-09T00:00:00.000, Male, 320000
12902753, 黑巧克力味的南瓜派, None, 1999-12-31T00:00:00.000, Female, Unknown
12902781, 林零绫0259, None, 2007-12-31T00:00:00.000, Unknown, Unknown
12902790, 执着的暴风雀6wVclh, None, 2000-01-01T00:00:00.000, Female, Unknown
12902797, 李佳泽的world, 最美的事，不是留住时光，而是留住记忆······, 1999-12-31T00:00:00.000, Female, Unknown
12902809, 周屁阳, None, 1999-12-31T00:00:00.000, Female, Unknown
12902840, Marco2015, 代码岛新人，不咋会代码，最近在上代码课 , 2015-01-01T00:00:00.000, Male, 440000
12902851, 智慧碳基生物, 不常在线, 2010-08-31T00:00:00.000, Female, Unknown
12902854, 战神白起, None, 1999-12-31T00:00:00.000, Female, Unknown
12902874, 小煞不是羌族小煞, 如你所见，一个屑~, 1999-12-31T00:00:00.000, Female, Unknown
12902884, 上进的草灵灵6c2R, None, 1999-12-31T00:00:00.000, Female, Unknown
12902904, 潇洒的神奇四喵小魏, None, 1999-12-31T00:00:00.000, Female, Unknown
12902908, 江江洋洋, None, 1999-12-31T00:00:00.000, Female, Unknown
12902910, 苏辞er丫丫, None, 1999-12-31T00:00:00.000, Female, Unknown
